Template|Cypher
Famous local cuisine / products of Santorini|MATCH p=(start{ns0__name:"Santorini"})-[r]->(end) WHERE end:ns1__LocalCuisine OR end:ns1__LocalWine RETURN start.ns0__name AS Entity, Type(r) AS Relation,  end.ns0__name AS Entity2_Name, end.ns0__description AS Entity2_Description
What to eat in Santorini?|MATCH p=(start{ns0__name:"Santorini"})-[r:ns0__EatAction]->(end:ns1__LocalCuisine) RETURN start.ns0__name AS Entity, Type(r) AS Relation,  end.ns0__name AS Entity2_Name, end.ns0__description AS Entity2_Description
What to drink in Santorini?|MATCH p=(start{ns0__name:"Santorini"})-[r:ns0__DrinkAction]->(end:ns1__LocalWine) RETURN start.ns0__name AS Entity, Type(r) AS Relation,  end.ns0__name AS Entity2_Name, end.ns0__description AS Entity2_Description
People born in Santorini|MATCH p=(start{ns0__name:"Santorini"})-[r:ns0__birthPlace]->(end:ns1__Notable_Person) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name, end.ns0__jobTitle AS Entity2_JobTitle
People who died in Santorini|MATCH p=(start{ns0__name:"Santorini"})-[r:ns0__deathPlace]->(end:ns1__Notable_Person) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name, end.ns0__jobTitle AS Entity2_JobTitle
Is <Notable Person> born in Santorini|MATCH p=(start{ns0__name:"Santorini"})-[r:ns0__birthPlace]->(end:ns1__Notable_Person) WHERE end.ns0__name="<Notable Person>" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name, end.ns0__jobTitle AS Entity_JobTitle
Historical Info about <Place>|MATCH (p) WHERE p.ns0__name = "<Place>" RETURN p.ns1__Brief_History AS Brief_History;
Villages in Santorini|MATCH (start{ns0__name:"Santorini"})-[r:ns0__containsPlace]->(end:ns1__Village)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end AS Entity2
What is Santorini also known as?|MATCH (start{ns0__name:"Santorini"})-[r:ns1__Also_Known_As]->(end)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name, end.ns1__Name_Origin AS Entity2_Name_Origin
Myths about <Place>|MATCH (start{ns0__name:"<Place>"})-[r:ns1__Myths]->(end)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name, end.ns0__description AS Entity2_Description
How can I get around in <Place>?|MATCH (start{ns0__name:"<Place>"})-[r:ns1__Get_Around]->(end)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
What do you know about <Place>?|MATCH p=(start{ns0__name:"<Place>"})-[r]->(end) RETURN start.ns0__name AS Entity, labels(start) AS Labels, Type(r) AS Relation, end LIMIT 10
What are some family friendly places?|MATCH (start{ns0__name:"Santorini"})-[r:ns0__containsPlace]->(end:ns1__FamilyFriendly_Place)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
What are some romantic places?|MATCH (start{ns0__name:"Santorini"})-[r:ns0__containsPlace]->(end:ns1__Romantic_Place)RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
What are the best attractions someone should see in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[*1..2]->(end:ns0__TouristAttraction) RETURN start.ns0__name AS Entity, end.ns0__name AS Entity_Name
What attractions are close to <Beach>|MATCH p=(start{ns0__name:"<Beach>"})<-[r:ns1__Visit]-(middle)-[r:ns1__See]->(end:ns0__TouristAttraction) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity_Name
Churches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[*1..2]->(end:ns1__Place_of_Worship) RETURN start.ns0__name AS Entity, end.ns0__name AS Entity_Name
Romantic attractions for couples|MATCH p=(start{ns0__name:"Santorini"})-[*1..2]->(end:ns1__Romantic_Attraction) RETURN start.ns0__name AS Entity, end.ns0__name AS Entity_Name
What can a couple do in <Place>?|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Do]->(end:ns1__Romantic_Activity) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
What to do in <Place>?|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Do]->(end:ns1__Activity) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Can I go for a <Tour> in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Do]->(end:ns1__Tour) WHERE end.ns0__name="<Tour>" RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Activities to do in Santorini|MATCH p=(start{ns0__name:"Santorini"})-[*1..3]->(end:ns1__Activity) RETURN start.ns0__name AS Entity, end.ns0__name AS Entity2_Name
Is <Festival> taking place during <Month>|MATCH (p) WHERE p.ns0__name="<Festival>" RETURN p.ns0__name, p.ns1__during;
Can I try <Activity>?|MATCH p=(start{ns0__name:"Santorini"})-[*1..3]->(end:ns1__Activity) WHERE end.ns0__name="<Activity>" RETURN start.ns0__name AS Entity, end.ns0__name AS Entity2_Name
What water sports can I do in <Beach>?|MATCH p=(start{ns0__name:"<Beach>"})-[r:ns1__Do]->(end:ns1__Water_Activity) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end.ns0__name AS Entity2_Name
Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[r:ns1__Visit]->(end:ns0__Beach) RETURN start.ns0__name AS Entity, Type(r) AS Relation, end AS Entity2
